video_id,gt_VCL,pred_VCL,VCL_error,gt_VSL,pred_VSL,VSL_error,gt_VAP,pred_VAP,VAP_error
AD140191 (1),3.4367,1.996983890589826,1.439716109410174,3.4367,1.9890717359017673,1.4476282640982328,3.4367,1.9766051009592738,1.4600948990407263
AD140191 (1),2.3491,1.3334212761146107,1.0156787238853893,2.3491,1.3285852480555709,1.020514751944429,2.3491,1.3279656222666851,1.0211343777333148
AD140191 (1),2.817,1.049143882286306,1.7678561177136942,2.7166,1.0491398593345123,1.6674601406654879,1.8991,0.5245700978449112,1.3745299021550887
AD140191 (1),1.5369,1.246000546192142,0.290899453807858,1.5369,1.246000546192142,0.290899453807858,1.5369,1.246000546192142,0.290899453807858
AD140191 (1),2.5074,1.1041936575097764,1.4032063424902237,2.5074,0.4711398523161479,2.036260147683852,2.5074,1.05150869328734,1.45589130671266
AD140191 (1),1.1977,1.082670960254782,0.11502903974521805,1.1845,1.082670960254782,0.10182903974521818,0.593,1.082670960254782,0.48967096025478196
AD140191 (1),2.2194,1.716481160710977,0.5029188392890229,2.2194,1.6856932691185234,0.5337067308814765,2.2194,1.636542820637267,0.5828571793627328
AD140191 (1),1.2748,1.1781478222641433,0.09665217773585666,1.2748,1.1663740689335798,0.10842593106642018,1.2748,1.0546329175549576,0.22016708244504235
AD140191 (1),3.0049,1.0437780184460337,1.9611219815539664,3.0049,1.0077822185373186,1.9971177814626815,3.0049,0.9880977648657231,2.016802235134277
AD140191 (1),1.2766,1.1876287367826175,0.08897126321738247,1.2766,1.18760279160374,0.08899720839626002,1.2766,0.593801807567374,0.682798192432626
AF301294 (1),0.301,0.3018355733579863,0.0008355733579862856,0.301,0.11534953670487944,0.18565046329512055,0.301,0.23796877567255856,0.06303122432744143
AF301294 (1),3.5445,2.1374177635091627,1.4070822364908375,3.5445,2.1028182560686397,1.4416817439313605,3.5445,2.0908968234093814,1.4536031765906188
AF301294 (1),2.3321,2.281205077352379,0.050894922647620966,1.6717,2.281205077352379,0.6095050773523791,1.3981,2.281205077352379,0.8831050773523792
AF301294 (1),1.4774,1.4610051177396235,0.016394882260376553,1.4774,1.453753032058877,0.023646967941123087,1.4774,0.8648053538178102,0.6125946461821898
AF301294 (1),2.5957,2.3921570022590077,0.20354299774099216,1.05,2.3921570022590077,1.3421570022590077,0.9774,2.3921570022590077,1.4147570022590077
AF301294 (1),0.5344,0.5346518305713046,0.00025183057130462316,0.5344,0.4330666501618675,0.10133334983813247,0.5344,0.4901631900892382,0.04423680991076179
AF301294 (1),1.1102,1.1122511553735237,0.0020511553735236276,1.1102,1.1111349315209236,0.0009349315209234987,1.1102,0.7573112497344959,0.35288875026550415
AF301294 (1),0.3412,0.3410454063830489,0.00015459361695108198,0.3412,0.19453016541172172,0.1466698345882783,0.3412,0.16990917789572207,0.17129082210427793
AF301294 (1),2.8179,2.2389827505421853,0.5789172494578145,2.8179,2.238075504475791,0.5798244955242087,2.8179,1.8077648935433592,1.0101351064566406
AF301294 (1),2.628,1.9100419296026752,0.717958070397325,2.628,1.8451847577203366,0.7828152422796635,2.628,1.7161180294517486,0.9118819705482515
AF301294 (1),1.8707,1.800698000749048,0.07000199925095196,0.9945,1.7975027104917027,0.8030027104917027,0.5247,1.5650966800870043,1.0403966800870044
AF301294 (1),0.9925,1.008931605902847,0.01643160590284698,0.9925,0.9962154102960964,0.003715410296096344,0.9925,0.8330570436361135,0.1594429563638865
AF301294 (1),0.5551,0.5544826782557015,0.0006173217442985157,0.5551,0.5529452565942897,0.002154743405710313,0.5551,0.276482567506216,0.278617432493784
AF301294 (1),1.5117,1.5755049238723366,0.0638049238723366,1.5117,1.574356598941085,0.062656598941085,1.5117,1.4494962176894477,0.06220378231055235
AF301294 (1),0.2035,0.20440125365965137,0.0009012536596513798,0.2035,0.08685185879259429,0.1166481412074057,0.2035,0.14549258565460077,0.058007414345399216
AF301294 (1),3.3669,3.010054465850437,0.35684553414956266,3.3669,3.009752817570049,0.3571471824299506,3.3669,2.7991441926262133,0.5677558073737865
AF301294 (1),1.282,1.2795744717071476,0.0024255282928524746,0.7227,1.278678834340673,0.555978834340673,0.3974,0.6393555138229087,0.2419555138229087
AF301294 (1),0.9242,0.9166186275678282,0.007581372432171829,0.4889,0.8658675201784619,0.3769675201784619,0.2567,0.7623406791045294,0.5056406791045294
AF301294 (1),1.8197,1.8019877210400301,0.017712278959969963,1.8197,1.5618463138795098,0.2578536861204903,1.8197,1.6442512052383356,0.17544879476166453
AF301294 (1),0.5408,0.5414513737066146,0.0006513737066146108,0.5408,0.5272528285245269,0.013547171475473019,0.5408,0.2636313038191215,0.27716869618087847
AF301294 (1),1.4577,1.441590863768026,0.016109136231974075,1.4577,1.4413539069463281,0.01634609305367185,1.4577,0.7206791834166681,0.7370208165833319
AF301294 (1),2.5918,1.9292866933877526,0.6625133066122475,2.5918,1.8890821569962384,0.7027178430037617,2.5918,1.0901549885902082,1.501645011409792
AF301294 (1),1.7689,1.7455253350728772,0.0233746649271227,0.4932,1.743626096310378,1.250426096310378,0.3478,0.8938190428488147,0.5460190428488148
AF301294 (1),1.5998,1.5845664058172027,0.01523359418279746,0.3792,1.5845664058172027,1.2053664058172027,0.2838,1.5845664058172027,1.3007664058172026
AF301294 (1),0.5013,0.5021924587496295,0.00089245874962951,0.5013,0.5021924587496295,0.00089245874962951,0.5013,0.5021924587496295,0.00089245874962951
AF301294 (1),0.8236,0.8188373135984174,0.0047626864015826165,0.8236,0.7820341338384466,0.041565866161553444,0.8236,0.7993303004083899,0.024269699591610072
AF301294 (1),0.8136,0.8158298042458123,0.002229804245812317,0.8136,0.8102862453504619,0.003313754649538092,0.8136,0.435389159993923,0.37821084000607696
AF301294 (1),1.2549,1.2555324460315296,0.0006324460315296765,1.2549,1.2553175859169459,0.0004175859169459617,1.2549,0.627659373116488,0.6272406268835119
AF301294 (1),0.6364,0.6382091535306571,0.0018091535306571371,0.6364,0.635027582758574,0.001372417241426005,0.6364,0.5215757742751735,0.11482422572482642
AF301294 (1),1.0689,1.0612449547575233,0.007655045242476621,1.0689,1.0612070587256754,0.007692941274324516,1.0689,0.5306051550442743,0.5382948449557257
AF301294 (1),1.8004,1.7344643810880662,0.06593561891193378,1.8004,1.7288872278113452,0.07151277218865482,1.8004,0.9117963982653926,0.8886036017346074
AF301294 (1),0.7472,0.7467283694841182,0.0004716305158817269,0.7472,0.7029809046831279,0.04421909531687207,0.7472,0.703118233880051,0.04408176611994896
AF301294 (1),2.5545,2.1073728781425607,0.4471271218574393,2.5545,2.1073728781425607,0.4471271218574393,2.5545,2.1073728781425607,0.4471271218574393
BM 210682 (1),2.8202,2.306878829799711,0.5133211702002889,2.4568,2.306878829799711,0.14992117020028894,1.9135,2.306878829799711,0.39337882979971095
BM 210682 (1),2.5291,2.098381868638441,0.4307181313615591,2.5291,2.0940945866606686,0.4350054133393315,2.5291,1.9732698697811768,0.5558301302188233
CA130581 (1),1.0259,0.7608643211468058,0.26503567885319423,1.0259,0.5990544407596253,0.4268455592403747,1.0259,0.6214030259882541,0.4044969740117459
CA130581 (1),2.3252,0.8925945648185436,1.4326054351814566,2.3252,0.8909752160954721,1.434224783904528,2.3252,0.6908212800139814,1.6343787199860187
