video_id,track_id,num_frames,VCL,VSL,VAP
TA280380 (2)_SESSIOE 011225,11,8,0.6959,0.643,0.5288
TA280380 (2)_SESSIOE 011225,12,30,0.6108,0.5952,0.5797
TA280380 (2)_SESSIOE 011225,14,2,1.0257,1.0257,1.0257
TA280380 (2)_SESSIOE 011225,15,13,1.0353,0.3472,0.6842
TA280380 (2)_SESSIOE 011225,16,6,0.9482,0.7757,0.6098
TA280380 (2)_SESSIOE 011225,17,3,0.9398,0.9001,0.4522
TA280380 (2)_SESSIOE 011225,18,5,0.7534,0.7126,0.5633
TA280380 (2)_SESSIOE 011225,19,6,0.9762,0.7992,0.6789
TA280380 (2)_SESSIOE 011225,20,16,0.6276,0.3182,0.329
TA280380 (2)_SESSIOE 011225,22,2,1.2838,1.2838,1.2838
TA280380 (2)_SESSIOE 011225,24,8,0.8752,0.7112,0.7135
TA280380 (2)_SESSIOE 011225,25,24,0.65,0.4849,0.4758
TA280380 (2)_SESSIOE 011225,26,7,0.6093,0.2264,0.2252
TA280380 (2)_SESSIOE 011225,27,24,0.542,0.5074,0.4789
TA280380 (2)_SESSIOE 011225,28,23,0.6976,0.6454,0.6188
TA280380 (2)_SESSIOE 011225,30,2,0.8254,0.8254,0.8254
TA280380 (2)_SESSIOE 011225,31,2,1.2006,1.2006,1.2006
TA280380 (2)_SESSIOE 011225,32,2,0.4373,0.4373,0.4373
TA280380 (2)_SESSIOE 011225,33,3,0.6073,0.545,0.2743
TA280380 (2)_SESSIOE 011225,34,7,0.7317,0.6946,0.5507
TA280380 (2)_SESSIOE 011225,35,4,0.5251,0.4828,0.3201
TA280380 (2)_SESSIOE 011225,38,2,0.6865,0.6865,0.6865
TA280380 (2)_SESSIOE 011225,39,4,0.6943,0.1892,0.1914
TA280380 (2)_SESSIOE 011225,40,18,0.6562,0.6226,0.5943
TA280380 (2)_SESSIOE 011225,46,4,0.7769,0.7766,0.4824
TA280380 (2)_SESSIOE 011225,48,14,0.9168,0.4307,0.4984
TA280380 (2)_SESSIOE 011225,49,3,0.8087,0.8071,0.4036
TA280380 (2)_SESSIOE 011225,52,12,0.5859,0.5701,0.5274
TA280380 (2)_SESSIOE 011225,53,11,0.4591,0.4388,0.3925
TA280380 (2)_SESSIOE 011225,54,5,0.6254,0.3113,0.2243
TA280380 (2)_SESSIOE 011225,55,2,0.5943,0.5943,0.5943
TA280380 (2)_SESSIOE 011225,57,12,0.6297,0.6254,0.5732
TA280380 (2)_SESSIOE 011225,58,9,0.4639,0.3807,0.3845
TA280380 (2)_SESSIOE 011225,59,5,0.7062,0.6948,0.5116
TA280380 (2)_SESSIOE 011225,61,7,0.5138,0.1459,0.163
TA280380 (2)_SESSIOE 011225,62,10,0.5613,0.4542,0.3877
TA280380 (2)_SESSIOE 011225,63,9,0.9475,0.1752,0.2642
TA280380 (2)_SESSIOE 011225,64,8,0.5826,0.525,0.4045
TA280380 (2)_SESSIOE 011225,67,6,0.561,0.481,0.4131
